price,datetime,room,location,area
$1495,2016-10-19 17:49,1," (hercules, pinole, san pablo, el sob)",650ft
$3295,2016-10-19 17:49,2, (san jose downtown),1304ft
$2793,2016-10-19 17:49,1, (foster city),712ft
$2795,2016-10-19 17:49,2, (los gatos),
$3295,2016-10-19 17:49,1, (cole valley / ashbury hts),
$900,2016-10-19 17:49,2, (berkeley),670ft
$1996,2016-10-19 17:49,1, (sunnyvale),
$2995,2016-10-19 17:48,1, (redwood city),773ft
$3196,2016-10-19 17:48,2, (cupertino),1060ft
$3285,2016-10-19 17:48,1, (menlo park),722ft
$1949,2016-10-19 17:48,, (santa rosa),
$1935,2016-10-19 17:48,1, (sunnyvale),
$2100,2016-10-19 17:48,1, (hayward / castro valley),916ft
$2100,2016-10-19 17:48,2, (hayward / castro valley),916ft
$3579,2016-10-19 17:48,2, (mountain view),1060ft
$2993,2016-10-19 17:48,1, (mountain view),756ft
$1850,2016-10-19 17:47,1, (gilroy),650ft
$1927,2016-10-19 17:47,1, (vallejo / benicia),778ft
$2284,2016-10-19 17:47,1, (sausalito),597ft
$1815,2016-10-19 17:47,2," (Santa Rosa, Calilfornia, Rohner Park, Novato, San Rafael)",885ft
$2200,2016-10-19 17:46,2, (dublin / pleasanton / livermore),903ft
$2725,2016-10-19 17:46,2, (sunnyvale),1076ft
$2595,2016-10-19 17:46,2, (campbell),1005ft
$3095,2016-10-19 17:46,2, (los gatos),
$5948,2016-10-19 17:46,2, (santa clara),1964ft
$1450,2016-10-19 17:46,1, (santa rosa),600ft
$2670,2016-10-19 17:45,1, (san jose north),740ft
$2466,2016-10-19 17:45,2, (dublin / pleasanton / livermore),953ft
$2425,2016-10-19 17:45,1, (san jose north),740ft
$1999,2016-10-19 17:45,1, (danville / san ramon),625ft
$3675,2016-10-19 17:45,3, (saratoga),1153ft
$2036,2016-10-19 17:45,1, (san jose west),725ft
$2251,2016-10-19 17:44,1," (150 Palm Valley Boulevard, San Jose, CA 95123)",806ft
$4950,2016-10-19 17:44,3, (west portal / forest hill),1650ft
$2695,2016-10-19 17:44,2, (sunnyvale),930ft
$3800,2016-10-19 17:44,2, (laurel hts / presidio),
$4405,2016-10-19 17:44,3, (alameda),1170ft
$6590,2016-10-19 17:44,2, (financial district),1581ft
$1859,2016-10-19 17:44,, (daly city),482ft
$3190,2016-10-19 17:44,1, (foster city),771ft
$2992,2016-10-19 17:44,2, (sausalito),888ft
$3060,2016-10-19 17:43,1, (san jose north),823ft
$2150,2016-10-19 17:43,2, (dublin / pleasanton / livermore),1000ft
$2499,2016-10-19 17:43,1, (SOMA / south beach),478ft
$4500,2016-10-19 17:43,4, (San Jose),
$2495,2016-10-19 17:43,1, (downtown / civic / van ness),
$4209,2016-10-19 17:42,2, (mountain view),1094ft
$1650,2016-10-19 17:41,1," (Santa Rosa, Calilfornia, Rohner Park, Novato, San Rafael)",661ft
$2646,2016-10-19 17:41,, (sunnyvale),720ft
$6590,2016-10-19 17:41,2, (SOMA / south beach),1581ft
$800,2016-10-19 17:41,1, (los gatos),
$3735,2016-10-19 17:41,1, (financial district),655ft
$3063,2016-10-19 17:41,1, (san mateo),1014ft
$2795,2016-10-19 17:41,, (russian hill),635ft
$2398,2016-10-19 17:41,1, (foster city),
$2577,2016-10-19 17:40,1, (cupertino),774ft
$2375,2016-10-19 17:40,1, (san jose downtown),710ft
$2195,2016-10-19 17:39,2, (san jose west),875ft
$2530,2016-10-19 17:39,2, (Campbell),971ft
$2439,2016-10-19 17:39,2, (hayward / castro valley),
$5995,2016-10-19 17:39,2, (north beach / telegraph hill),
$1875,2016-10-19 17:39,1, (dublin / pleasanton / livermore),
$2906,2016-10-19 17:38,2, (morgan hill),950ft
$2695,2016-10-19 17:38,2, (palo alto),
$4075,2016-10-19 17:38,2, (sunnyvale),1296ft
$1795,2016-10-19 17:38,, (willow glen / cambrian),
$1815,2016-10-19 17:38,2," (1 Lakeville Circle, Petaluma, CA 94954)",885ft
$6000,2016-10-19 17:38,2, (sunnyvale),1100ft
$2700,2016-10-19 17:37,2, (Oakland),1000ft
$3574,2016-10-19 17:37,1, (SOMA / south beach),784ft
$2490,2016-10-19 17:37,1, (cupertino),739ft
$2950,2016-10-19 17:37,2, (santa clara),1152ft
$2270,2016-10-19 17:36,1, (oakland north / temescal),700ft
$4000,2016-10-19 17:36,3, (sunnyvale),1146ft
$2388,2016-10-19 17:36,2, (santa rosa),
$4015,2016-10-19 17:36,2, (sunnyvale),1240ft
$2350,2016-10-19 17:36,1, (san jose downtown),714ft
$2150,2016-10-19 17:36,2, (hayward / castro valley),850ft
$1900,2016-10-19 17:36,2, (santa rosa),
$2728,2016-10-19 17:36,1, (san mateo),660ft
$2514,2016-10-19 17:35,2, (santa clara),973ft
$850,2016-10-19 17:35,1, (santa clara),680ft
$2025,2016-10-19 17:35,1, (sunnyvale),720ft
$2210,2016-10-19 17:35,1, (morgan hill),701ft
$1995,2016-10-19 17:35,2, (san jose downtown),700ft
$2895,2016-10-19 17:35,1, (SOMA / south beach),571ft
$2846,2016-10-19 17:35,2, (walnut creek),1020ft
$2095,2016-10-19 17:35,1, (mountain view),
$3441,2016-10-19 17:35,3, (emeryville),1168ft
$4180,2016-10-19 17:35,3, (mountain view),1305ft
$4835,2016-10-19 17:35,3, (laurel hts / presidio),1065ft
$5363,2016-10-19 17:35,3, (laurel hts / presidio),1250ft
$800,2016-10-19 17:35,1, (los gatos),
$800,2016-10-19 17:35,1, (los gatos),
$6188,2016-10-19 17:34,3, (laurel hts / presidio),1250ft
$2728,2016-10-19 17:34,1, (san mateo),660ft
$6371,2016-10-19 17:34,3, (laurel hts / presidio),1250ft
$2223,2016-10-19 17:34,, (SOMA / south beach),241ft
$6119,2016-10-19 17:34,3, (laurel hts / presidio),1250ft
$1825,2016-10-19 17:34,, (mountain view),
$4900,2016-10-19 17:34,4, (los altos),1650ft
$2195,2016-10-19 17:34,1, (campbell),700ft
$3760,2016-10-19 17:34,3, (milpitas),1630ft
$2350,2016-10-19 17:34,1, (menlo park),578ft
$2465,2016-10-19 17:34,1, (san mateo),686ft
$2495,2016-10-19 17:34,1, (san jose downtown),607ft
$2472,2016-10-19 17:34,1, (cupertino),728ft
$2295,2016-10-19 17:33,2, (hayward / castro valley),950ft
$2581,2016-10-19 17:33,1, (sausalito),612ft
$800,2016-10-19 17:33,1, (los gatos),
$4450,2016-10-19 17:33,5, (danville / san ramon),2772ft
$2205,2016-10-19 17:33,2," (1 Lakeville Circle, Petaluma, CA 94954)",1028ft
$3295,2016-10-19 17:33,2, (alameda),1015ft
$1495,2016-10-19 17:33,1, (oakland east),700ft
$2695,2016-10-19 17:33,1, (oakland east),1776ft
$2300,2016-10-19 17:32,2, (fremont / union city / newark),840ft
$3389,2016-10-19 17:32,1, (redwood city),842ft
$2550,2016-10-19 17:32,3, (fremont / union city / newark),
$3275,2016-10-19 17:32,3, (dublin / pleasanton / livermore),1640ft
$3201,2016-10-19 17:31,2, (emeryville),935ft
$1650,2016-10-19 17:31,2, (santa cruz),
$4995,2016-10-19 17:31,2, (palo alto),1010ft
$2728,2016-10-19 17:31,1, (san mateo),660ft
$2158,2016-10-19 17:31,, (belmont),
$2695,2016-10-19 17:31,2, (santa clara),900ft
$4650,2016-10-19 17:31,2, (nob hill),1100ft
$4750,2016-10-19 17:30,3, (potrero hill),1500ft
$1650,2016-10-19 17:30,1," (1 Lakeville Circle, Petaluma, CA 94954)",661ft
$3000,2016-10-19 17:30,2, (capitola),1000ft
$2327,2016-10-19 17:30,2, (campbell),980ft
$2945,2016-10-19 17:30,1, (san jose north),875ft
$3183,2016-10-19 17:30,2, (san mateo),1054ft
$1850,2016-10-19 17:30,, (mountain view),423ft
$4100,2016-10-19 17:29,2, (mission district),1024ft
$3195,2016-10-19 17:29,3, (fremont / union city / newark),942ft
$7950,2016-10-19 17:29,4, (laurel hts / presidio),1620ft
$3295,2016-10-19 17:29,2, (santa clara),1100ft
$3000,2016-10-19 17:29,2, (richmond / seacliff),850ft
$2110,2016-10-19 17:29,1, (fremont / union city / newark),623ft
$3500,2016-10-19 17:28,1, (larkspur),780ft
$2656,2016-10-19 17:28,2, (santa clara),935ft
$6200,2016-10-19 17:28,3, (lower pac hts),1300ft
$4250,2016-10-19 17:28,, (glen park),1100ft
$2375,2016-10-19 17:28,2, (alameda),
$2340,2016-10-19 17:28,1, (emeryville),635ft
$3295,2016-10-19 17:28,2, (san carlos),
$4195,2016-10-19 17:28,3, (sunnyvale),1387ft
$1895,2016-10-19 17:27,2," (1 Lakeville Circle, Petaluma, CA 94954)",1028ft
$1833,2016-10-19 17:27,, (cupertino),
$3587,2016-10-19 17:27,2, (san jose downtown),1417ft
$2625,2016-10-19 17:27,2, (sunnyvale),920ft
$2495,2016-10-19 17:27,2, (willow glen / cambrian),980ft
$2575,2016-10-19 17:27,2, (fremont / union city / newark),870ft
$2744,2016-10-19 17:27,1, (cupertino),894ft
$2195,2016-10-19 17:27,2, (dublin / pleasanton / livermore),770ft
$3795,2016-10-19 17:27,3, (menlo park),
$4040,2016-10-19 17:27,3, (mountain view),1127ft
$1595,2016-10-19 17:27,2, (petaluma),
$2995,2016-10-19 17:26,1, (cole valley / ashbury hts),
$2574,2016-10-19 17:26,, (san jose north),607ft
$3190,2016-10-19 17:26,2, (sunnyvale),1113ft
$3535,2016-10-19 17:25,3, (milpitas),1259ft
$3555,2016-10-19 17:25,1, (potrero hill),713ft
$800,2016-10-19 17:25,1, (los gatos),
$3049,2016-10-19 17:24,2, (san mateo),961ft
$1845,2016-10-19 17:24,2, (hayward / castro valley),900ft
$2749,2016-10-19 17:24,2, (Campbell),982ft
$3059,2016-10-19 17:24,2, (foster city),1043ft
$2744,2016-10-19 17:27,1, (cupertino),894ft
$2195,2016-10-19 17:27,2, (dublin / pleasanton / livermore),770ft
$3795,2016-10-19 17:27,3, (menlo park),
$4040,2016-10-19 17:27,3, (mountain view),1127ft
$1595,2016-10-19 17:27,2, (petaluma),
$2995,2016-10-19 17:26,1, (cole valley / ashbury hts),
$2574,2016-10-19 17:26,, (san jose north),607ft
$3190,2016-10-19 17:26,2, (sunnyvale),1113ft
$3535,2016-10-19 17:25,3, (milpitas),1259ft
$3555,2016-10-19 17:25,1, (potrero hill),713ft
$800,2016-10-19 17:25,1, (los gatos),
$3049,2016-10-19 17:24,2, (san mateo),961ft
$1845,2016-10-19 17:24,2, (hayward / castro valley),900ft
$2749,2016-10-19 17:24,2, (Campbell),982ft
$3059,2016-10-19 17:24,2, (foster city),1043ft
$1895,2016-10-19 17:24,2," (1 Lakeville Circle, Petaluma, CA 94954)",1028ft
$2935,2016-10-19 17:24,2, (milpitas),1082ft
$2750,2016-10-19 17:23,2, (richmond / seacliff),776ft
$2865,2016-10-19 17:23,3, (santa clara),
$1600,2016-10-19 17:23,3, (novato),
$2805,2016-10-19 17:23,2, (Campbell),971ft
$4363,2016-10-19 17:23,2, (lower pac hts),925ft
$4050,2016-10-19 17:23,2, (Downtown Los Gatos),1011ft
$1965,2016-10-19 17:23,1, (san jose west),635ft
$5795,2016-10-19 17:23,2, (russian hill),1300ft
$4040,2016-10-19 17:23,3, (mountain view),1127ft
$2360,2016-10-19 17:23,1, (milpitas),715ft
$4040,2016-10-19 17:23,3, (mountain view),1127ft
$2395,2016-10-19 17:23,4, (concord / pleasant hill / martinez),1260ft
$4300,2016-10-19 17:22,2, (inner richmond),1200ft
$1815,2016-10-19 17:22,2," (1 Lakeville Circle, Petaluma, CA 94954)",885ft
$2700,2016-10-19 17:22,1, (san jose north),759ft
$2215,2016-10-19 17:22,1, (milpitas),643ft
$2300,2016-10-19 17:22,1, (fremont / union city / newark),854ft
$3205,2016-10-19 17:22,2, (cupertino),1197ft
$2695,2016-10-19 17:22,, (mission district),
$1600,2016-10-19 17:22,3, (novato),
$2335,2016-10-19 17:22,2, (hayward / castro valley),900ft
$2690,2016-10-19 17:21,2, (milpitas),935ft
$1933,2016-10-19 17:21,1, (san jose south),720ft
$2760,2016-10-19 17:21,2, (willow glen / cambrian),1173ft
$4490,2016-10-19 17:20,2, (mountain view),1074ft
$3621,2016-10-19 17:20,2, (mountain view),1080ft
$2963,2016-10-19 17:20,2, (san jose downtown),1108ft
$2527,2016-10-19 17:20,2, (san jose downtown),820ft
$2950,2016-10-19 17:20,4, (napa county),1549ft
$3640,2016-10-19 17:20,1, (SOMA / south beach),708ft
$2345,2016-10-19 17:20,1, (san jose south),706ft
$4295,2016-10-19 17:20,2, (palo alto),1250ft
$2200,2016-10-19 17:20,1, (walnut creek),750ft
$2997,2016-10-19 17:19,2, (dublin / pleasanton / livermore),1088ft
$2243,2016-10-19 17:19,, (emeryville),575ft
$4692,2016-10-19 17:19,2, (san jose west),1460ft
$2150,2016-10-19 17:19,1, (alameda),
$1700,2016-10-19 17:19,1, (richmond / seacliff),
$3500,2016-10-19 17:19,2, (ingleside / SFSU / CCSF),1100ft
$1600,2016-10-19 17:18,3, (novato),
$3597,2016-10-19 17:18,2, (san rafael),846ft
$3875,2016-10-19 17:18,1, (San Francisco),1060ft
$2374,2016-10-19 17:18,2, (santa rosa),
$2610,2016-10-19 17:18,1, (santa clara),871ft
$1895,2016-10-19 17:17,2," (1 Lakeville Circle, Petaluma, CA 94954)",1028ft
$2948,2016-10-19 17:16,1," (1050 Court St., San Rafael, CA 94901)",749ft
$4127,2016-10-19 17:16,3, (mountain view),1225ft
$1650,2016-10-19 17:16,1," (1 Lakeville Circle, Petaluma, CA 94954)",661ft
$2692,2016-10-19 17:16,1, (san mateo),722ft
$5343,2016-10-19 17:16,2, (san mateo),1344ft
$2680,2016-10-19 17:16,1, (belmont),600ft
$3049,2016-10-19 17:16,2, (san mateo),961ft
$10950,2016-10-19 17:16,3, (russian hill),
$2317,2016-10-19 17:16,2, (san jose downtown),818ft
$1965,2016-10-19 17:15,1, (san leandro),950ft
$2340,2016-10-19 17:15,1, (san jose north),671ft
$2795,2016-10-19 17:15,2, (palo alto),800ft
$3795,2016-10-19 17:15,1, (mission district),
$3750,2016-10-19 17:15,4, (milpitas),1860ft
$2595,2016-10-19 17:15,, (mission district),
$2040,2016-10-19 17:15,, (san jose downtown),560ft
$2700,2016-10-19 17:15,2, (dublin / pleasanton / livermore),1045ft
$1645,2016-10-19 17:14,1,,712ft
